"rank","name","key","vendor","installs","downloads","reviews","stars","last_modified","release_date","cloud_version_found","min_annual_price_usd","price_500_users_usd","price_2000_users_usd","tagline","marketplace_url","seller_status","paid_customers","revenue","asking_price","transfer_interest"
"165","Issue Preview for Jira","com.lifeincodes.issue-preview-for-jira","Life in Codes","22","4733","6","4.375","2026-04-23T15:06:25.106Z","2026-04-23","false","270","1350","2700","Get the information you need faster by simply hovering over the issue key","https://marketplace.atlassian.com/apps/1220952/issue-preview-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"166","Microsoft Teams Connector for Jira","net.gsolution.plugins.jira-msteams-connector","Globo Solutions","22","5722","2","3.125","2026-05-06T11:06:53.521Z","2026-05-06","false","120","1000","2400","Send automated notifications from Jira to Microsoft Teams","https://marketplace.atlassian.com/apps/1221427/microsoft-teams-connector-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"167","Canned Issues","com.porzelt.jira.simpletemplates.CannedIssues","Maximilian Porzelt","21","4218","3","4.6666665","2026-07-04T08:39:21.108Z","2026-07-04","false","40","400","1000","Create templates for issues in Jira Core, Software and Service Desk","https://marketplace.atlassian.com/apps/1222237/canned-issues?tab=overview","unknown","unknown","unknown","unknown","unknown"
"168","easeContext - Context Manager for Jira","com.easesolutions.jira.plugins.customfields.project-field-manager","Ease Solutions Consulting GmbH","21","6291","2","5","2026-06-09T08:52:17.722Z","2026-06-09","false","170","1050","2150","Allow Project Admins to manage the context of custom fields without system admin rights","https://marketplace.atlassian.com/apps/1213372/easecontext-context-manager-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"169","SAML (SSO) Single Sign-On for Jira","eu.toimproveit.saml.jira.SAML4JIRA","2improveIT","21","4996","2","4.375","2026-03-04T09:51:37.167Z","2026-03-04","false","220","1200","1600","Use your SAML IdP Server for Single SignOn / SSO","https://marketplace.atlassian.com/apps/1215766/saml-sso-single-sign-on-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"170","Toolbox for Jira Service Management","com.kostebekteknoloji.plugins.jira.jira-service-desk-toolbox","Köstebek Teknoloji","21","6629","0","0","2025-12-11T10:59:03.150Z","2025-09-29","false","400","1200","2250","Provides Statable Customer Request Type​ for Gadgets and Elapsed, Goal and Remaining times for JSM SLA Fields with diff. formats","https://marketplace.atlassian.com/apps/1215375/toolbox-for-jira-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"171","Custom Epic Panel","net.seibertmedia.jira.plugins.epic-panel-plugin","Seibert","20","5554","0","0","2026-01-19T15:06:34.041Z","2026-01-16","false","70","875","1400","Enable multiple issue types to use Epic functionality","https://marketplace.atlassian.com/apps/1220416/custom-epic-panel?tab=overview","unknown","unknown","unknown","unknown","unknown"
"172","Issue Printer for Jira","com.tngtech.jira.plugins.issueprinter","TNG Technology Consulting GmbH","18","8624","4","5","2026-03-24T14:51:53.444Z","2026-03-24","false","634","2139","3644","Print asset stickers & agile cards that link back to Jira issues via QR codes. Create custom print templates using HTML and CSS","https://marketplace.atlassian.com/apps/1212668/issue-printer-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
"173","Ultimate Requests (for Jira Service Management)","com.prontop.extra-fields-for-jira-service-desk","aety aps","18","5499","4","4.0625","2026-06-30T09:18:18.611Z","2026-06-30","false","900","1700","2700","Add extra fields to the Service Management requests page, column sorting, additional search filters and CSV export","https://marketplace.atlassian.com/apps/1219214/ultimate-requests-for-jira-service-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"174","Groups Plus - Attributes and delegated management","com.almarise.gpp","Almarise","18","4610","3","3.75","2026-06-24T08:58:42.582Z","2026-06-24","false","110","600","900","Group attributes & metadata, Group membership management delegation, configurable Group Picker","https://marketplace.atlassian.com/apps/1224998/groups-plus-attributes-and-delegated-management?tab=overview","unknown","unknown","unknown","unknown","unknown"
"175","Issue Archiver & Attachment Housekeeper for Jira","com.akeles.jira.plugins.issue-archiver","Akeles Consulting","18","4387","1","5","2026-05-20T03:16:20.444Z","2026-05-19","false","300","1500","2100","Addressing data compliance, performance and storage needs with ever-growing Jira instances","https://marketplace.atlassian.com/apps/1217514/issue-archiver-attachment-housekeeper-for-jira?tab=overview","unknown","unknown","unknown","unknown","unknown"
